arm,mode,strategy,seed,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
fed,probe,fedavg,0,1,0.310883,0.542351,0.365875,0.231828,0.429190,0.648273,0.316824
fed,probe,fedavg,0,2,0.366162,0.621591,0.416589,0.256605,0.473717,0.593281,0.373155
fed,probe,fedavg,0,3,0.395619,0.669674,0.601806,0.311643,0.461864,0.627815,0.413195
fed,probe,fedavg,0,4,0.402033,0.682613,0.621173,0.322678,0.453515,0.704580,0.426952
fed,probe,fedavg,0,5,0.439242,0.683940,0.624884,0.337216,0.461864,0.770458,0.456538
fed,probe,fedavg,0,6,0.419059,0.700110,0.636141,0.334932,0.460317,0.756944,0.447158
fed,probe,fedavg,0,7,0.439376,0.676278,0.620543,0.363849,0.448464,0.691066,0.455925
fed,probe,fedavg,0,8,0.456910,0.659820,0.638322,0.366649,0.470418,0.756944,0.471800
fed,probe,fedavg,0,9,0.458258,0.661435,0.651654,0.375471,0.465368,0.802365,0.476166
fed,probe,fedavg,0,10,0.449389,0.662242,0.637202,0.385251,0.468872,0.725788,0.468889
fed,probe,fedavg,0,11,0.475089,0.673423,0.669340,0.374468,0.482478,0.740053,0.486891
fed,probe,fedavg,0,12,0.480133,0.684998,0.674128,0.381802,0.468872,0.746809,0.493393
fed,probe,fedavg,0,13,0.484876,0.696039,0.651374,0.389342,0.456813,0.756944,0.492294
fed,probe,fedavg,0,14,0.478869,0.696039,0.654753,0.414486,0.463616,0.750188,0.499678
fed,probe,fedavg,0,15,0.488803,0.699539,0.651374,0.399264,0.478767,0.753566,0.500505
fed,probe,fedavg,0,16,0.492742,0.693078,0.538209,0.399431,0.455267,0.740053,0.506295
fed,probe,fedavg,0,17,0.496056,0.696847,0.661240,0.400623,0.485570,0.767830,0.506319
fed,probe,fedavg,0,18,0.492852,0.693617,0.663215,0.387397,0.472171,0.761074,0.498193
fed,probe,fedavg,0,19,0.497909,0.697654,0.538506,0.421160,0.482272,0.764452,0.508920
fed,probe,fedavg,0,20,0.499436,0.701423,0.658267,0.440399,0.490620,0.767830,0.512996
fed,probe,fedavg,0,21,0.493768,0.705066,0.526134,0.420719,0.489074,0.757695,0.507697
fed,probe,fedavg,0,22,0.488075,0.697654,0.507113,0.408875,0.482066,0.764452,0.498789
fed,probe,fedavg,0,23,0.502080,0.713411,0.681149,0.425763,0.466914,0.761074,0.516486
fed,probe,fedavg,0,24,0.507852,0.708835,0.541421,0.419110,0.473717,0.764452,0.517643
fed,probe,fedavg,0,25,0.508902,0.713949,0.678077,0.450780,0.466914,0.764452,0.527289
fed,probe,fedavg,0,26,0.490431,0.703990,0.650782,0.437262,0.477221,0.740803,0.508135
fed,probe,fedavg,0,27,0.490180,0.731878,0.511723,0.446644,0.480519,0.767830,0.508167
fed,probe,fedavg,0,28,0.490691,0.708027,0.667700,0.446300,0.500928,0.744182,0.510415
fed,probe,fedavg,0,29,0.499570,0.709912,0.520594,0.422701,0.483818,0.767830,0.506861
fed,probe,fedavg,0,30,0.501398,0.716641,0.540346,0.425988,0.468460,0.757695,0.513732
fed,probe,fedavg,0,31,0.498904,0.704653,0.517981,0.438754,0.482066,0.740053,0.510665
fed,probe,fedavg,0,32,0.505187,0.714218,0.529343,0.447112,0.477015,0.754317,0.518193
fed,probe,fedavg,0,33,0.495943,0.715170,0.515523,0.442588,0.471965,0.767830,0.508797
fed,probe,fedavg,0,34,0.496178,0.713411,0.514784,0.416614,0.478767,0.767830,0.506285
fed,probe,fedavg,0,35,0.499665,0.718525,0.518152,0.421685,0.470212,0.771209,0.505113
fed,probe,fedavg,0,36,0.501230,0.717179,0.527092,0.427794,0.478767,0.764452,0.511738
fed,probe,fedavg,0,37,0.499376,0.710988,0.507349,0.460744,0.451556,0.771209,0.512364
fed,probe,fedavg,0,38,0.501826,0.716103,0.531287,0.433422,0.468460,0.767830,0.511975
fed,probe,fedavg,0,39,0.499159,0.713142,0.514728,0.459755,0.465162,0.754317,0.515877
fed,probe,fedavg,0,40,0.496219,0.711796,0.529496,0.439142,0.471965,0.723161,0.510510
fed,probe,fedavg,0,41,0.508907,0.720410,0.523562,0.428413,0.480313,0.767830,0.516799
fed,probe,fedavg,0,42,0.497967,0.721361,0.547638,0.445822,0.468460,0.757695,0.514553
fed,probe,fedavg,0,43,0.509668,0.707345,0.521882,0.482514,0.485364,0.761074,0.526082
fed,probe,fedavg,0,44,0.502787,0.710037,0.526336,0.457714,0.470212,0.736674,0.516851
fed,probe,fedavg,0,45,0.507717,0.716372,0.537637,0.441868,0.461657,0.767830,0.518280
fed,probe,fedavg,0,46,0.508232,0.701009,0.523867,0.449806,0.498969,0.767830,0.517435
fed,probe,fedavg,0,47,0.514399,0.711921,0.509891,0.483574,0.471758,0.784722,0.526171
fed,probe,fedavg,0,48,0.509644,0.704509,0.533173,0.459751,0.507524,0.764452,0.523292
fed,probe,fedavg,0,49,0.510193,0.707345,0.541766,0.442942,0.505978,0.740803,0.524276
fed,probe,fedavg,0,50,0.501976,0.724053,0.522016,0.426655,0.488868,0.733296,0.512667
