arm,mode,strategy,seed,client,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
local_xeval,finetune,-,0,0,20,0.758826,0.611002,0.499797,0.441756,0.408988,0.690128,0.664936
local_xeval,finetune,-,0,1,20,0.244042,0.761594,0.371175,0.192177,0.396928,0.650150,0.301298
local_xeval,finetune,-,0,2,20,0.383418,0.651798,0.687707,0.427512,0.442795,0.683559,0.448887
local_xeval,finetune,-,0,3,20,0.267366,0.322318,0.478819,0.600275,0.480107,0.297297,0.319847
local_xeval,finetune,-,0,4,20,0.164576,0.294828,0.212111,0.190785,0.671202,0.357357,0.164939
local_xeval,finetune,-,0,5,20,0.165349,0.274558,0.210698,0.218584,0.319934,0.451952,0.174131
local_xeval,finetune,-,0,0,40,0.782265,0.523529,0.507610,0.340698,0.369718,0.606044,0.657919
local_xeval,finetune,-,0,1,40,0.210362,0.747039,0.353149,0.193670,0.302309,0.339339,0.275631
local_xeval,finetune,-,0,2,40,0.362262,0.723765,0.687732,0.405212,0.502268,0.682808,0.435404
local_xeval,finetune,-,0,3,40,0.236156,0.352111,0.493987,0.608155,0.476603,0.304054,0.295834
local_xeval,finetune,-,0,4,40,0.164605,0.291434,0.217482,0.184447,0.684807,0.391892,0.167963
local_xeval,finetune,-,0,5,40,0.176318,0.225871,0.197039,0.208447,0.343640,0.472410,0.177371
