arm,mode,strategy,seed,client,round,bal_acc_own
local,finetune,-,1,0,1,0.473129
local,finetune,-,1,0,2,0.571382
local,finetune,-,1,0,3,0.623621
local,finetune,-,1,0,4,0.617540
local,finetune,-,1,0,5,0.661144
local,finetune,-,1,0,6,0.655582
local,finetune,-,1,0,7,0.683172
local,finetune,-,1,0,8,0.690079
local,finetune,-,1,0,9,0.699044
local,finetune,-,1,0,10,0.703284
local,finetune,-,1,0,11,0.743347
local,finetune,-,1,0,12,0.736295
local,finetune,-,1,0,13,0.735300
local,finetune,-,1,0,14,0.744499
local,finetune,-,1,0,15,0.739326
local,finetune,-,1,0,16,0.734978
local,finetune,-,1,0,17,0.724575
local,finetune,-,1,0,18,0.716880
local,finetune,-,1,0,19,0.726979
local,finetune,-,1,0,20,0.750949
local,finetune,-,1,0,21,0.737448
local,finetune,-,1,0,22,0.754726
local,finetune,-,1,0,23,0.761259
local,finetune,-,1,0,24,0.754796
local,finetune,-,1,0,25,0.756820
local,finetune,-,1,0,26,0.758073
local,finetune,-,1,0,27,0.764802
local,finetune,-,1,0,28,0.773916
local,finetune,-,1,0,29,0.746507
local,finetune,-,1,0,30,0.766428
local,finetune,-,1,0,31,0.776872
local,finetune,-,1,0,32,0.781170
local,finetune,-,1,0,33,0.756521
local,finetune,-,1,0,34,0.780243
local,finetune,-,1,0,35,0.763881
local,finetune,-,1,0,36,0.772936
local,finetune,-,1,0,37,0.780657
local,finetune,-,1,0,38,0.781251
local,finetune,-,1,0,39,0.782289
local,finetune,-,1,0,40,0.764995
local,finetune,-,1,1,1,0.512440
local,finetune,-,1,1,2,0.580475
local,finetune,-,1,1,3,0.656768
local,finetune,-,1,1,4,0.689646
local,finetune,-,1,1,5,0.729398
local,finetune,-,1,1,6,0.705134
local,finetune,-,1,1,7,0.758777
local,finetune,-,1,1,8,0.757287
local,finetune,-,1,1,9,0.766314
local,finetune,-,1,1,10,0.730869
local,finetune,-,1,1,11,0.765776
local,finetune,-,1,1,12,0.738819
local,finetune,-,1,1,13,0.752298
