arm,mode,strategy,seed,client,round,bal_acc_own
local,probe,-,0,0,1,0.409625
local,probe,-,0,0,2,0.425227
local,probe,-,0,0,3,0.456968
local,probe,-,0,0,4,0.473402
local,probe,-,0,0,5,0.464227
local,probe,-,0,0,6,0.496594
local,probe,-,0,0,7,0.478560
local,probe,-,0,0,8,0.512050
local,probe,-,0,0,9,0.505540
local,probe,-,0,0,10,0.515383
local,probe,-,0,0,11,0.506507
local,probe,-,0,0,12,0.512583
local,probe,-,0,0,13,0.531457
local,probe,-,0,0,14,0.532917
local,probe,-,0,0,15,0.513738
local,probe,-,0,0,16,0.519925
local,probe,-,0,0,17,0.520929
local,probe,-,0,0,18,0.536202
local,probe,-,0,0,19,0.520665
local,probe,-,0,0,20,0.544953
local,probe,-,0,1,1,0.467929
local,probe,-,0,1,2,0.583705
local,probe,-,0,1,3,0.635051
local,probe,-,0,1,4,0.680206
local,probe,-,0,1,5,0.677101
local,probe,-,0,1,6,0.636128
local,probe,-,0,1,7,0.702442
local,probe,-,0,1,8,0.704595
local,probe,-,0,1,9,0.704864
local,probe,-,0,1,10,0.652028
local,probe,-,0,1,11,0.709171
local,probe,-,0,1,12,0.655941
local,probe,-,0,1,13,0.652836
local,probe,-,0,1,14,0.711738
local,probe,-,0,1,15,0.624265
local,probe,-,0,1,16,0.624265
local,probe,-,0,1,17,0.625072
local,probe,-,0,1,18,0.658633
local,probe,-,0,1,19,0.625072
local,probe,-,0,1,20,0.625341
local,probe,-,0,2,1,0.417035
local,probe,-,0,2,2,0.452156
local,probe,-,0,2,3,0.473532
local,probe,-,0,2,4,0.528037
local,probe,-,0,2,5,0.519114
local,probe,-,0,2,6,0.547861
local,probe,-,0,2,7,0.559245
local,probe,-,0,2,8,0.545427
local,probe,-,0,2,9,0.566263
local,probe,-,0,2,10,0.568176
local,probe,-,0,2,11,0.570606
local,probe,-,0,2,12,0.570850
local,probe,-,0,2,13,0.581115
local,probe,-,0,2,14,0.574309
local,probe,-,0,2,15,0.570625
local,probe,-,0,2,16,0.570656
local,probe,-,0,2,17,0.569812
local,probe,-,0,2,18,0.585402
local,probe,-,0,2,19,0.587525
local,probe,-,0,2,20,0.581482
local,probe,-,0,3,1,0.195578
local,probe,-,0,3,2,0.265851
local,probe,-,0,3,3,0.311130
local,probe,-,0,3,4,0.328341
local,probe,-,0,3,5,0.350216
local,probe,-,0,3,6,0.396971
local,probe,-,0,3,7,0.423661
local,probe,-,0,3,8,0.400186
local,probe,-,0,3,9,0.414672
local,probe,-,0,3,10,0.450894
local,probe,-,0,3,11,0.426047
local,probe,-,0,3,12,0.430857
local,probe,-,0,3,13,0.453996
local,probe,-,0,3,14,0.433322
local,probe,-,0,3,15,0.464500
local,probe,-,0,3,16,0.480063
local,probe,-,0,3,17,0.471056
local,probe,-,0,3,18,0.473923
local,probe,-,0,3,19,0.487737
local,probe,-,0,3,20,0.483111
local,probe,-,0,4,1,0.416821
local,probe,-,0,4,2,0.429705
local,probe,-,0,4,3,0.519068
local,probe,-,0,4,4,0.550917
local,probe,-,0,4,5,0.549577
local,probe,-,0,4,6,0.569573
local,probe,-,0,4,7,0.569779
local,probe,-,0,4,8,0.576582
local,probe,-,0,4,9,0.588229
local,probe,-,0,4,10,0.583179
local,probe,-,0,4,11,0.591734
local,probe,-,0,4,12,0.596784
local,probe,-,0,4,13,0.578334
local,probe,-,0,4,14,0.591734
local,probe,-,0,4,15,0.591734
local,probe,-,0,4,16,0.584931
local,probe,-,0,4,17,0.584931
local,probe,-,0,4,18,0.578128
local,probe,-,0,4,19,0.588229
local,probe,-,0,4,20,0.588229
local,probe,-,0,5,1,0.237237
local,probe,-,0,5,2,0.243243
local,probe,-,0,5,3,0.250000
local,probe,-,0,5,4,0.233108
local,probe,-,0,5,5,0.281907
local,probe,-,0,5,6,0.302928
local,probe,-,0,5,7,0.309685
local,probe,-,0,5,8,0.347598
local,probe,-,0,5,9,0.350976
local,probe,-,0,5,10,0.347598
local,probe,-,0,5,11,0.347598
local,probe,-,0,5,12,0.347598
local,probe,-,0,5,13,0.344219
local,probe,-,0,5,14,0.350976
local,probe,-,0,5,15,0.378754
local,probe,-,0,5,16,0.350976
local,probe,-,0,5,17,0.406532
local,probe,-,0,5,18,0.406532
local,probe,-,0,5,19,0.409910
local,probe,-,0,5,20,0.409910
