arm,mode,strategy,seed,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
pooled,finetune,-,1,1,0.529921,0.630494,0.689743,0.427504,0.455267,0.608108,0.564030
pooled,finetune,-,1,2,0.568723,0.690073,0.621032,0.539416,0.511029,0.701201,0.610704
pooled,finetune,-,1,3,0.629994,0.718631,0.770061,0.563795,0.566996,0.707958,0.653261
pooled,finetune,-,1,4,0.652020,0.744097,0.669739,0.611454,0.553803,0.718093,0.684805
pooled,finetune,-,1,5,0.647032,0.738964,0.658439,0.512389,0.599258,0.756006,0.668719
pooled,finetune,-,1,6,0.650234,0.632359,0.657344,0.512282,0.613069,0.755255,0.660982
pooled,finetune,-,1,7,0.689991,0.663767,0.806526,0.518150,0.589775,0.700450,0.697966
pooled,finetune,-,1,8,0.691753,0.700558,0.799666,0.506689,0.608225,0.839715,0.699800
pooled,finetune,-,1,9,0.671441,0.765651,0.804091,0.547924,0.669450,0.714715,0.697366
pooled,finetune,-,1,10,0.730603,0.692463,0.792111,0.555460,0.645537,0.782470,0.729045
pooled,finetune,-,1,11,0.708824,0.700144,0.809784,0.537846,0.638734,0.844970,0.719622
pooled,finetune,-,1,12,0.730481,0.700413,0.792892,0.587340,0.657390,0.726727,0.731816
pooled,finetune,-,1,13,0.747246,0.712546,0.783012,0.579641,0.669243,0.740428,0.739883
pooled,finetune,-,1,14,0.743174,0.707018,0.799170,0.629553,0.696454,0.685435,0.747588
pooled,finetune,-,1,15,0.754961,0.714968,0.823317,0.589014,0.655638,0.751126,0.752220
pooled,finetune,-,1,16,0.739914,0.706893,0.814908,0.604348,0.654504,0.793168,0.744789
pooled,finetune,-,1,17,0.752392,0.740723,0.814300,0.590927,0.652340,0.762012,0.747563
pooled,finetune,-,1,18,0.773113,0.659171,0.832837,0.640591,0.644403,0.726727,0.769050
pooled,finetune,-,1,19,0.740007,0.705403,0.811020,0.590990,0.688312,0.751877,0.737028
pooled,finetune,-,1,20,0.754151,0.694886,0.827168,0.663050,0.710060,0.712462,0.761347
pooled,finetune,-,1,21,0.769895,0.692732,0.825292,0.599603,0.662647,0.684685,0.761729
pooled,finetune,-,1,22,0.769562,0.698798,0.811341,0.679294,0.667697,0.715841,0.768033
pooled,finetune,-,1,23,0.790579,0.767122,0.825470,0.642668,0.725211,0.740240,0.777385
pooled,finetune,-,1,24,0.761917,0.711056,0.833216,0.590177,0.635436,0.747748,0.754544
pooled,finetune,-,1,25,0.772733,0.814161,0.816537,0.656640,0.665945,0.743619,0.774607
pooled,finetune,-,1,26,0.776642,0.777101,0.810424,0.615047,0.698207,0.772147,0.766793
pooled,finetune,-,1,27,0.786420,0.712007,0.827779,0.627467,0.696660,0.743619,0.774601
pooled,finetune,-,1,28,0.776149,0.731946,0.846407,0.611879,0.674500,0.868431,0.770120
pooled,finetune,-,1,29,0.794446,0.778716,0.832928,0.654291,0.686147,0.792417,0.782377
pooled,finetune,-,1,30,0.768897,0.802567,0.834664,0.680630,0.684395,0.736862,0.774511
pooled,finetune,-,1,31,0.761010,0.765776,0.833177,0.674229,0.706761,0.831081,0.772925
pooled,finetune,-,1,32,0.800063,0.750952,0.832821,0.601281,0.691404,0.751126,0.780825
pooled,finetune,-,1,33,0.790261,0.758095,0.829560,0.628245,0.686147,0.764640,0.774504
pooled,finetune,-,1,34,0.776355,0.759979,0.827590,0.618978,0.688106,0.761261,0.767721
pooled,finetune,-,1,35,0.785876,0.731407,0.817372,0.629363,0.699753,0.761261,0.774739
pooled,finetune,-,1,36,0.796549,0.752298,0.826460,0.637200,0.684395,0.725976,0.782366
pooled,finetune,-,1,37,0.793619,0.779254,0.799949,0.644227,0.691198,0.806682,0.778498
pooled,finetune,-,1,38,0.795704,0.758633,0.809009,0.599815,0.701505,0.778153,0.776063
pooled,finetune,-,1,39,0.796589,0.711594,0.826365,0.607028,0.662441,0.847973,0.773721
pooled,finetune,-,1,40,0.783376,0.672649,0.802169,0.597951,0.669450,0.757883,0.760571
