arm,mode,strategy,seed,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
pooled,probe,-,0,1,0.410585,0.565967,0.605456,0.348607,0.501340,0.728979,0.470770
pooled,probe,-,0,2,0.447172,0.636199,0.664205,0.383554,0.481550,0.666479,0.506247
pooled,probe,-,0,3,0.459480,0.684695,0.645049,0.385194,0.459184,0.704580,0.517109
pooled,probe,-,0,4,0.467577,0.714199,0.648867,0.383003,0.447330,0.739302,0.524268
pooled,probe,-,0,5,0.485985,0.707864,0.660068,0.422650,0.486601,0.732357,0.535402
pooled,probe,-,0,6,0.508782,0.712440,0.678534,0.413474,0.516698,0.801614,0.545683
pooled,probe,-,0,7,0.504298,0.716891,0.652765,0.432938,0.496702,0.801614,0.549013
pooled,probe,-,0,8,0.503143,0.714199,0.678202,0.436274,0.489487,0.777215,0.545707
pooled,probe,-,0,9,0.509509,0.704759,0.667889,0.437222,0.518244,0.777215,0.548662
pooled,probe,-,0,10,0.510586,0.692213,0.673243,0.467318,0.493197,0.794857,0.555010
pooled,probe,-,0,11,0.496285,0.723620,0.652269,0.447908,0.501546,0.787350,0.539253
pooled,probe,-,0,12,0.505314,0.724697,0.660176,0.466860,0.505051,0.787350,0.552566
pooled,probe,-,0,13,0.520222,0.708114,0.658135,0.469872,0.525046,0.756194,0.557767
pooled,probe,-,0,14,0.521005,0.721880,0.652501,0.441697,0.471449,0.760323,0.560124
pooled,probe,-,0,15,0.535034,0.724697,0.646223,0.461559,0.526799,0.818506,0.566792
pooled,probe,-,0,16,0.506306,0.726043,0.655737,0.479454,0.492991,0.756194,0.554773
pooled,probe,-,0,17,0.516297,0.699894,0.650748,0.456579,0.459390,0.752628,0.553872
pooled,probe,-,0,18,0.526119,0.715132,0.631942,0.482448,0.476087,0.728228,0.560563
pooled,probe,-,0,19,0.531374,0.718506,0.667468,0.452589,0.500000,0.724850,0.563802
pooled,probe,-,0,20,0.534875,0.700038,0.663852,0.455515,0.474541,0.742680,0.563767
